## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/cell_lines/RNAseq/sorted_bam/244-1-chu-02-B7-6-11-21_226_351_S24_L003_RNA_HISAT2_genome_aligned_sortedbycoord.bam] OUTPUT=/scratch/eknodel/SCC_samples/cell_lines/RNAseq/sorted_bam/244-1-chu-02-B7-6-11-21_226_351_S24_L003_RNA_HISAT2_genome_aligned_sortedbycoord_mkdup.bam METRICS_FILE=244-1-chu-02-B7-6-11-21_226_351_S24_L003.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 22 15:38:51 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	524342	18563277	5575935	0	385112	3939465	192746	0.219491	38678324

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008177	12158156	0	12281709
2.0	1.632057	1843343	184381	1760641
3.0	2.018127	379207	3913	350433
4.0	2.257035	111922	132	104455
5.0	2.404876	46902	16	44696
6.0	2.496363	24692	9	23895
7.0	2.552977	15053	2	14578
8.0	2.588011	10042	2	9804
9.0	2.609691	7035	1	6744
10.0	2.623107	4996	0	4913
11.0	2.631409	3716	0	3630
12.0	2.636546	2841	0	2760
13.0	2.639725	2323	0	2274
14.0	2.641693	1815	0	1761
15.0	2.64291	1475	0	1445
16.0	2.643664	1218	0	1208
17.0	2.64413	1065	0	1045
18.0	2.644418	869	0	827
19.0	2.644597	723	0	708
20.0	2.644707	638	0	632
21.0	2.644776	528	0	533
22.0	2.644818	467	0	434
23.0	2.644844	409	0	396
24.0	2.64486	358	0	376
25.0	2.64487	326	0	320
26.0	2.644877	310	0	292
27.0	2.64488	271	0	262
28.0	2.644883	220	0	205
29.0	2.644884	206	0	215
30.0	2.644885	185	0	178
31.0	2.644886	187	0	183
32.0	2.644886	148	0	133
33.0	2.644886	137	0	141
34.0	2.644886	133	0	124
35.0	2.644886	104	0	121
36.0	2.644886	110	0	93
37.0	2.644887	84	0	83
38.0	2.644887	70	0	68
39.0	2.644887	92	0	87
40.0	2.644887	72	0	76
41.0	2.644887	68	0	71
42.0	2.644887	74	0	69
43.0	2.644887	61	0	55
44.0	2.644887	63	0	66
45.0	2.644887	50	0	54
46.0	2.644887	55	0	49
47.0	2.644887	46	0	42
48.0	2.644887	26	0	30
49.0	2.644887	34	0	27
50.0	2.644887	34	0	34
51.0	2.644887	45	0	41
52.0	2.644887	33	0	39
53.0	2.644887	29	0	27
54.0	2.644887	23	0	19
55.0	2.644887	23	0	26
56.0	2.644887	36	0	43
57.0	2.644887	30	0	17
58.0	2.644887	21	0	23
59.0	2.644887	21	0	25
60.0	2.644887	16	0	18
61.0	2.644887	24	0	27
62.0	2.644887	25	0	15
63.0	2.644887	13	0	16
64.0	2.644887	23	0	22
65.0	2.644887	22	0	17
66.0	2.644887	17	0	19
67.0	2.644887	21	0	22
68.0	2.644887	12	0	11
69.0	2.644887	24	0	25
70.0	2.644887	19	0	23
71.0	2.644887	16	0	7
72.0	2.644887	12	0	14
73.0	2.644887	11	0	9
74.0	2.644887	11	0	12
75.0	2.644887	7	0	6
